text,intent
bật đèn phòng khách,turn_on
bật đèn lên,turn_on
mở đèn nhà bếp,turn_on
bật ánh sáng phòng ngủ,turn_on
hãy bật đèn giúp tôi,turn_on
tắt đèn phòng khách,turn_off
tắt hết đèn,turn_off
tắt ánh sáng nhà bếp,turn_off
tắt đèn trong phòng ngủ,turn_off
hãy tắt đèn đi,turn_off
mở rèm phòng khách,open_curtain
kéo rèm lên,open_curtain
mở rèm cửa sổ,open_curtain
kéo rèm phòng ngủ ra,open_curtain
hãy mở rèm giùm tôi,open_curtain
đóng rèm phòng khách,close_curtain
kéo rèm lại,close_curtain
đóng rèm cửa sổ,close_curtain
kéo rèm phòng ngủ vào,close_curtain
hãy đóng rèm lại,close_curtain
mấy giờ rồi,ask_time
bây giờ là mấy giờ,ask_time
cho tôi biết thời gian,ask_time
hiện tại là mấy giờ,ask_time
giờ giấc,ask_time
hôm nay ngày bao nhiêu,ask_date
cho tôi biết ngày tháng,ask_date
hôm nay là ngày gì,ask_date
ngày tháng hiện tại,ask_date
bây giờ là ngày bao nhiêu,ask_date
xin chào,greet
chào bạn,greet
chào trợ lý,greet
hello,greet
hi,greet
tạm biệt,bye
chào nhé,bye
tôi đi đây,bye
bye,bye
hẹn gặp lại,bye
